"","Date","Mean_Temperature_F","Max_Wind_Speed_MPH","Mean_Wind_Speed_MPH","Precipitation_In","Events"
"167",23791620,58,16,13,0,""
"168",23793060,57,12,7,0,""
"169",23794500,60,10,7,0.02,"Rain"
"170",23795940,50,15,7,0.31,"Rain"
"171",23797380,50,14,5,0.05,"Rain"
"172",23798820,50,7,3,0,"Rain"
"173",23800260,49,16,7,0.05,"Rain"
"174",23801700,48,9,4,0,""
"175",23803140,50,8,2,0,""
"176",23804580,52,12,6,0,"Rain"
"177",23806020,54,14,4,0.01,"Rain"
"178",23807460,54,10,3,0,""
"179",23808900,54,14,5,0,""
"180",23810340,54,15,6,0.52,"Rain"
"181",23811780,50,15,8,0.02,"Rain"
"182",23813220,52,10,6,0,""
"183",23814660,48,13,4,0.46,"Rain"
"184",23816100,47,13,8,0.05,"Rain"
"185",23817540,49,7,4,0,"Rain"
"186",23818980,52,10,2,0,"Rain"
"187",23820420,56,12,3,0,""
"188",23821860,57,9,2,0,"Rain"
"189",23823300,58,10,2,0,""
"190",23824740,60,10,2,0,"Rain"
"191",23826180,56,12,3,0.16,"Rain"
"192",23827620,52,9,5,0,""
"193",23829060,50,14,7,0.1,"Rain"
"194",23830500,52,17,10,0.15,"Rain"
"195",23831940,52,9,2,0.01,""
"196",23833380,52,9,5,0,""
"197",23834820,66,10,6,0,"Rain"
"198",23836260,56,14,6,0.11,"Rain"
"199",23837700,56,12,6,0.01,""
"200",23839140,57,9,5,0,""
"201",23840580,59,9,4,0,""
"202",23842020,58,10,4,0,""
"203",23843460,57,9,3,0,""
"204",23844900,55,14,6,0,""
"205",23846340,54,14,8,0.18,"Rain"
"206",23847780,56,12,3,0,""
"207",23849220,58,10,3,0,""
"208",23850660,62,10,2,0,""
"209",23852100,66,6,2,0,""
"210",23853540,62,8,3,0,""
"211",23854980,56,9,5,0,"Rain"
"212",23856420,58,13,4,0.11,"Rain"
"213",23857860,54,10,7,0.14,"Rain"
"214",23859300,60,7,1,0,""
"215",23860740,60,10,2,0.01,""
"216",23862180,58,9,6,0,""
"217",23863620,62,8,2,0,""
"218",23865060,66,9,3,0,""
"219",23866500,65,7,2,0,""
"220",23867940,64,7,4,0,""
"221",23869380,68,7,2,0,""
"222",23870820,60,9,6,0,""
"223",23872260,59,8,5,0,"Rain"
"224",23873700,60,8,5,0,""
"225",23875140,58,9,6,0,""
"226",23876580,64,9,4,0,""
"227",23878020,67,7,2,0,""
"228",23879460,70,9,2,0,""
"229",23880900,71,10,2,0,""
"230",23882340,63,10,5,0,""
"231",23883780,65,10,4,0,""
"232",23885220,60,14,5,0.09,"Rain"
"233",23886660,60,12,8,0,""
"234",23888100,62,9,5,0,""
"235",23889540,65,12,3,0,""
"236",23890980,68,12,3,0,""
"237",23892420,72,10,3,0,""
"238",23893860,74,12,4,0,""
"239",23895300,73,10,3,0,""
"240",23896740,72,9,3,0,""
"241",23898180,68,8,5,0,""
"242",23899620,66,9,5,0,""
"243",23901060,64,8,5,0,""
"244",23902500,64,8,3,0,""
"245",23903940,69,10,3,0,""
"246",23905380,72,10,3,0,""
"247",23906820,64,10,5,0,""
"248",23908260,67,8,3,0,""
"249",23909700,70,9,3,0,""
"250",23911140,66,10,4,0.07,"Rain"
"251",23912580,66,10,4,0,""
"252",23914020,70,9,4,0,""
"253",23915460,67,12,5,0,""
"254",23916900,68,9,2,0,""
"255",23918340,72,8,2,0,""
"256",23919780,76,9,2,0,""
"257",23921220,76,10,5,0,""
"258",23922660,78,12,3,0,""
"259",23924100,76,8,2,0,"Rain , Thunderstorm"
"260",23925540,78,10,4,0.01,"Rain"
"261",23926980,75,7,4,0,""
"262",23928420,76,12,4,0,""
"263",23929860,80,10,3,0,""
"264",23931300,80,9,4,0,""
"265",23932740,77,10,3,0,""
"266",23934180,78,10,3,0,""
"267",23935620,74,9,5,0,""
"268",23937060,70,8,6,0,""
"269",23938500,74,8,3,0,""
"270",23939940,73,9,3,0,""
"271",23941380,68,13,8,0,""
"272",23942820,68,9,6,0,""
"273",23944260,72,10,6,0,""
"274",23945700,72,13,4,0,""
"275",23947140,72,9,4,0,""
"276",23948580,72,10,2,0,""
"277",23950020,72,9,4,0,""
"278",23951460,71,12,3,0,""
"279",23952900,78,12,3,0,""
"280",23954340,83,13,3,0,""
"281",23955780,74,13,8,0,""
"282",23957220,68,9,3,0.13,"Rain"
"283",23958660,68,10,4,0,""
"284",23960100,71,7,2,0,""
"285",23961540,67,13,6,0.01,"Rain"
"286",23962980,66,12,4,0.02,"Rain"
"287",23964420,66,8,2,0.1,"Rain"
"288",23965860,65,7,2,0.01,""
"289",23967300,72,9,3,0,""
"290",23968740,75,10,3,0,""
"291",23970180,78,9,3,0,""
"292",23971620,80,9,3,0,""
"293",23973060,77,12,3,0,""
"294",23974500,77,8,2,0,""
"295",23975940,76,12,2,0,""
"296",23977380,70,10,5,0,""
"297",23978820,65,8,3,0,""
"298",23980260,70,8,4,0,""
"299",23981700,72,8,2,0,""
"300",23983140,70,13,5,0,""
"301",23984580,72,12,5,0,""
"302",23986020,75,12,3,0,"Rain"
"303",23987460,76,10,3,0,""
"304",23988900,75,7,2,0.04,"Rain , Thunderstorm"
"305",23990340,74,10,6,0,""
"306",23991780,65,14,7,0.57,"Rain , Thunderstorm"
"307",23993220,66,12,7,0,""
"308",23994660,68,12,3,0,""
"309",23996100,70,12,2,0,""
"310",23997540,74,10,3,0,""
"311",23998980,78,7,2,0,""
"312",24000420,68,10,7,0,""
"313",24001860,66,9,6,0,""
"314",24003300,68,7,2,0,""
"315",24004740,70,6,1,0,""
"316",24006180,66,10,4,0,""
"317",24007620,68,12,2,0,""
"318",24009060,71,6,1,0,""
"319",24010500,74,8,3,0,""
"320",24011940,70,13,6,0.01,"Rain"
"321",24013380,66,23,8,0.18,"Rain"
"322",24014820,65,13,8,0.24,"Rain"
"323",24016260,66,15,11,0.06,"Rain"
"324",24017700,64,15,9,0.17,"Rain"
"325",24019140,63,13,7,0.02,"Rain"
"326",24020580,60,10,3,0,""
"327",24022020,60,8,2,0,""
"328",24023460,58,14,5,0.06,"Rain"
"329",24024900,58,10,5,0.19,"Rain"
"330",24026340,66,10,1,0,""
"331",24027780,67,13,6,0,""
"332",24029220,69,8,2,0,""
"333",24030660,68,12,3,0.01,""
"334",24032100,72,8,2,0,""
"335",24033540,71,10,2,0,""
"336",24034980,66,12,4,0.03,"Rain"
"337",24036420,58,9,7,0,""
"338",24037860,59,10,7,0,""
"339",24039300,60,8,4,0.04,"Rain"
"340",24040740,62,12,3,0.58,"Rain"
"341",24042180,64,9,5,0.01,""
"342",24043620,66,14,7,0,""
"343",24045060,66,17,11,0.09,"Rain"
"344",24046500,60,8,2,0,""
"345",24047940,57,10,2,0,""
"346",24049380,60,8,3,0,""
"347",24050820,64,10,3,0,""
"348",24052260,61,10,4,0.03,"Rain"
"349",24053700,60,8,2,0,""
"350",24055140,55,10,3,0,""
"351",24056580,61,9,3,0,""
"352",24058020,62,8,1,0,"Rain"
"353",24059460,60,8,3,0,""
"354",24060900,60,7,1,0.01,"Fog"
"355",24062340,58,13,3,0,""
"356",24063780,62,8,5,0,""
"357",24065220,62,9,3,0,""
"358",24066660,62,7,1,0,""
"359",24068100,60,13,4,0.01,""
"360",24069540,60,9,5,0.38,"Rain"
"361",24070980,64,5,1,0,""
"362",24072420,62,9,4,0.01,"Fog , Rain"
"363",24073860,66,16,8,0.77,"Rain"
"364",24075300,60,10,5,0,""
"365",24076740,61,12,6,0.34,"Rain"
"366",NA,NA,NA,NA,NA,""
